"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-04",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,3,12,4,7,7,4,9,7,2,13,12,11,11,11,11,4,4,11,8,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37147001509",6,4,4,4,11,11,7,12,9,11,3,3,3,5,11,7,7,3,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"37147001507",6,4,4,4,11,11,7,12,9,11,3,11,3,5,11,7,7,3,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"37147001506",6,4,4,4,11,11,7,12,9,11,3,11,3,5,11,7,7,3,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"37191000018",6,6,9,11,6,1,11,8,9,12,11,12,5,3,11,7,7,3,5,8,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37191000017",6,6,9,11,6,1,11,8,9,12,11,12,5,3,11,7,7,3,5,5,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37023000070",1,1,1,8,10,2,5,5,7,7,1,1,1,1,6,6,6,13,7,7,12,6,6,3,3,9,9,10,13,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"3714100LT18",9,3,12,6,1,3,3,11,9,10,11,12,11,2,1,4,4,4,1,11,11,12,12,12,2,1,13,2,8,2,2,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37191000016",6,6,9,11,6,1,11,8,9,12,11,12,5,3,11,7,7,3,5,5,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"3712700P06A",6,9,3,4,11,7,7,8,8,12,12,11,5,5,11,11,11,3,5,5,8,5,5,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37147001503",6,4,4,4,11,11,7,12,9,11,3,3,3,5,11,7,7,3,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"37191000015",6,6,9,11,1,1,11,8,9,12,3,11,5,3,11,7,7,3,5,8,8,5,3,2,2,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37191000014",6,6,9,11,6,1,11,8,9,12,3,11,5,3,11,7,7,3,5,8,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37067000405",10,7,7,12,12,12,9,6,1,5,7,7,8,4,12,9,6,9,3,7,7,1,10,13,7,9,9,9,10,5,10,10,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"37191000013",6,6,9,11,6,1,11,8,9,12,3,11,5,3,11,7,7,3,5,8,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37067000404",10,7,7,12,12,12,10,6,1,1,7,7,8,4,8,9,6,9,7,7,7,4,1,10,7,9,9,9,10,4,4,1,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"3712500WKWD",13,12,11,3,4,4,6,7,2,3,10,5,12,7,4,2,2,7,4,2,2,11,11,11,11,2,5,1,11,12,1,4,4,11,11,4,6,6,6,8,10,10,8,8,8,8,11,11,11,11,11
"3707700EAOX",12,9,6,9,7,7,10,9,12,12,12,2,7,8,8,8,5,8,2,3,10,10,5,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37067000403",10,7,7,12,12,12,10,6,1,1,7,7,8,4,8,9,6,9,7,7,7,1,1,10,7,9,9,9,10,4,4,1,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"37067000402",10,7,7,12,12,12,10,6,1,5,7,7,8,4,8,9,6,10,7,7,7,4,1,10,7,9,9,9,10,4,4,1,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"37067000401",2,7,7,12,12,12,9,6,1,5,7,7,8,4,8,9,6,10,3,7,7,4,1,10,7,9,9,9,10,5,10,10,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"3713300HN14",3,3,12,6,1,3,3,11,9,11,3,3,11,3,1,7,4,2,8,8,8,12,12,12,2,1,13,2,8,2,2,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37175000TC1",1,1,5,2,2,13,13,13,13,13,13,6,1,9,9,12,12,12,9,6,13,6,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"3703100ATSL",3,4,4,4,1,3,7,12,9,11,3,3,3,5,1,7,7,2,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"371150SANDY",1,1,5,2,2,13,13,13,13,13,13,6,1,9,9,12,12,12,9,6,13,6,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"37175000TC7",1,1,5,2,2,13,13,13,13,13,13,6,1,9,9,12,12,12,9,6,13,6,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"3719700EBND",5,7,7,8,5,5,10,6,1,5,7,4,8,4,12,8,3,9,7,7,12,1,1,13,3,9,9,9,10,5,10,10,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"37191000023",6,6,9,11,6,1,11,8,9,12,11,12,5,3,11,7,7,3,5,8,8,5,3,2,2,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37191000022",6,6,9,11,6,1,11,8,9,12,3,12,5,3,11,7,7,3,5,8,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"37191000021",6,6,9,11,6,1,11,8,9,12,11,12,5,3,11,7,7,3,5,8,8,5,3,2,2,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
