"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"370150000W2",5,46,46,12,12,35,22,35,24,41,41,41,41,41,43,43,22,45,35,46,17,45,45,46,18,29,30,30,35,18,18,30,30,22,22,22,28,28,28,26,43,27,30,27,27,12,12,45,45,30,49,49,49,49,49,41,19,47,18,18,18,18,49,49,49,18,18,18,21,21,21,21,21,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"370150000W1",5,46,46,12,12,35,22,35,24,41,41,41,41,41,43,43,22,45,35,46,17,45,45,46,18,29,30,30,35,35,35,30,18,22,22,22,28,28,28,26,43,27,45,27,27,12,45,45,45,30,49,49,49,49,49,41,19,47,18,18,18,18,49,49,49,18,18,18,21,21,21,21,21,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"370870000SA",1,1,8,8,1,1,1,1,1,1,1,1,1,10,10,10,10,10,3,3,3,48,3,48,3,3,3,36,39,39,36,36,36,39,39,39,39,39,36,36,39,36,36,36,38,38,38,38,38,38,38,3,3,3,3,3,3,3,3,36,36,36,36,36,36,36,36,36,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,1,1,1,1,1,1,1,1,1,1
"370150000WD",5,46,46,12,12,35,22,35,24,41,41,41,41,41,43,43,22,45,35,46,17,45,45,46,18,29,30,30,35,35,35,30,18,22,22,22,28,28,28,26,43,27,30,30,30,12,12,45,45,30,49,49,49,49,49,41,19,47,18,18,18,18,49,49,49,18,18,18,21,21,21,21,21,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"3703300STON",47,43,26,42,5,5,5,5,23,26,26,47,47,44,44,6,6,6,9,9,9,9,9,24,12,24,47,47,26,4,4,4,4,4,47,9,9,12,7,46,12,12,12,12,49,4,49,26,47,47,27,1,1,1,1,1,1,21,21,21,10,1,10,10,45,45,45,42,2,2,10,2,45,45,45,2,2,2,2,2,46,46,46,46,5,7,7,7,48,48,48,45,45,45,48,43,48,48,48,14,14
"37023000012",36,36,36,36,11,11,10,3,3,10,3,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,25,8,8,8,8,8,8,8,8,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,9,9,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"37023000011",36,36,36,36,11,11,10,11,32,29,29,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,25,48,17,21,8,8,8,8,8,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,9,9,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"370150000WH",5,46,46,12,12,35,22,35,24,41,41,41,41,41,43,43,22,45,35,46,17,45,45,46,18,29,30,30,35,18,18,30,30,22,22,22,28,28,28,26,43,27,30,27,27,12,12,45,12,30,49,49,49,49,49,41,19,47,18,18,18,18,49,49,49,18,18,18,21,21,21,21,21,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"371471403A2",7,7,7,35,35,35,22,35,24,41,41,22,12,41,41,41,35,35,45,45,45,17,22,22,22,30,29,29,28,30,30,35,28,28,14,28,28,28,28,43,26,43,45,30,30,30,45,12,45,49,47,47,33,45,45,49,30,18,30,30,47,47,21,30,30,30,21,21,49,49,49,49,10,4,4,4,43,43,18,4,4,18,18,18,18,18,18,18,18,18,18,18,49,49,49,30,30,30,30,30,16
"37023000019",36,36,36,36,11,11,10,29,10,10,25,36,30,3,36,36,25,25,8,25,1,1,1,34,34,34,2,34,34,34,3,3,25,25,8,8,8,17,17,17,38,38,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,38,32,32,3,11,11,11,38,38,36,36,36,11,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
