"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"371290000WB",3,3,5,5,5
"3708500PR20",2,11,3,3,11
"3714701505B",4,6,6,8,8
"370890000SM",1,10,10,10,10
"3714100SP15",3,3,5,5,5
"3714701505A",4,6,6,8,8
"371870000P2",4,6,6,8,8
"3708500PR29",2,11,3,3,11
"371870000P1",4,6,6,8,8
"3708500PR28",8,8,12,12,12
"3703900GCRK",1,10,10,10,10
"3708500PR26",2,11,3,3,11
"370890000SW",1,10,10,10,10
"37115REVERE",1,10,10,10,10
"371510000PR",11,2,9,7,4
"37119000210",10,9,7,1,13
"3705100CC27",2,11,3,3,11
"371050000A2",8,8,12,12,12
"3705100CC26",2,11,3,3,11
"371050000A1",8,8,12,12,12
"37025004-03",11,9,9,7,4
"3705100CC25",2,11,3,3,11
"3705100CC24",2,11,3,3,11
"37025004-01",11,9,9,7,4
"37119000218",7,2,1,1,1
"371870000P3",4,6,6,8,8
"37119000217",7,2,1,1,1
"37119000216",7,2,1,1,1
"3705100CC21",2,11,3,3,11
"37119000215",7,7,1,1,1
"37119000214",10,9,7,1,13
"37119000213",10,9,7,1,13
"37045KINGST",10,7,7,13,13
"37119000212",7,9,9,1,13
"37119000211",10,9,7,1,13
"37025004-09",11,9,9,7,4
"370890000RR",1,10,10,10,10
"37025004-08",11,9,9,7,4
"3705100CC29",2,11,3,3,11
"37065001001",4,6,6,8,8
"37119000219",7,2,1,1,1
"3710900BS26",13,1,13,9,2
"3705100CC31",2,11,3,3,11
"370210058.1",1,10,10,10,10
"37173000BC2",1,10,10,10,10
"370890000SB",1,10,10,10,10
"37173000BC1",1,10,10,10,10
"370890000SE",1,10,10,10,10
"3704300BRAS",1,10,10,10,10
"371510000SE",11,2,9,7,4
"370210006.1",1,10,10,10,10
"37055000WAN",4,6,6,8,8
"37095000OCK",4,6,6,8,8
"3700300000M",13,1,13,9,2
"371810000CC",5,12,12,12,12
"371510000SO",11,2,9,7,4
"3700300000W",13,1,13,9,2
"3703900HOTH",1,10,10,10,10
"3704500KM-S",10,7,7,13,13
"3704500KM-N",10,7,7,13,13
"3705100G11B",2,11,3,3,11
"371510000RN",11,2,9,7,4
"371510000RM",11,2,9,7,4
"37107000PH2",4,3,5,5,5
"37107000PH1",4,3,5,5,5
"3701900010B",3,3,5,5,5
"37183012-02",8,5,11,11,6
"37183012-01",8,4,11,11,6
"371110MAR-5",1,10,10,10,10
"371110MAR-4",1,10,10,10,10
"371110MAR-3",1,10,10,10,10
"371110MAR-2",1,10,10,10,10
"371110MAR-1",1,10,10,10,10
"370130WASH4",4,6,6,8,8
"370130WASH2",4,6,6,8,8
"370130WASH1",4,6,6,8,8
"3713300CR07",3,3,5,5,5
"3700300000E",13,1,13,9,2
"3708900HV-3",1,10,10,10,10
"3708900HV-2",1,10,10,10,10
"37125000CAR",11,11,3,7,4
"3708900HV-1",1,10,10,10,10
"37125000CAM",2,11,3,7,4
"370210001.1",1,10,10,10,10
"370890000NM",1,10,10,10,10
"370910000M2",4,6,6,8,8
"370890000NW",1,10,10,10,10
"370910000M1",4,6,6,8,8
"3707900HOOK",4,5,11,11,6
"370210049.1",1,10,10,10,10
"3707900MAUR",4,5,11,11,6
"370910000ML",4,6,6,8,8
"37179000021",7,2,1,13,1
"37081000GIB",9,12,8,4,7
"37065000102",5,6,6,8,8
"37065000101",5,6,6,8,8
"370210036.1",1,10,10,10,10
"3703300MILT",9,12,8,4,7
"371510000LC",11,2,9,7,4
"37179000027",11,2,1,13,1
"371510000LB",11,2,9,7,4
"3710900TA37",13,1,13,9,2
"37179000026",11,2,1,13,1
"37179000025",11,2,1,13,1
"37179000024",7,2,1,13,1
"37067000504",12,13,2,2,9
"371150BEECH",1,10,10,10,10
"37179000023",7,2,1,13,1
"37067000503",12,13,2,2,9
"37179000022",7,2,1,13,1
"37067000502",12,13,2,2,9
"37065000104",5,6,6,8,8
"37067000501",12,13,2,2,9
"37065000103",5,6,6,8,8
"371510000NM",11,13,9,7,4
"37183012-09",8,4,11,11,6
"37183012-08",8,4,11,11,6
"37099000GLV",1,10,10,10,10
"37183012-07",6,5,11,11,6
"3700300G1G2",13,1,13,9,2
"37183012-06",6,5,11,11,6
"37183012-05",6,4,11,11,6
"37183012-04",6,5,11,11,6
"37067000507",12,13,2,2,9
"37067000506",12,13,2,2,9
"3706100CYCK",3,3,5,5,5
"370890000RG",1,10,10,10,10
"37067000505",12,13,2,2,9
"371370001RB",4,6,6,8,8
"3706100CHAR",3,3,5,5,5
"37179000010",7,2,1,13,1
"37099000CFK",1,10,10,10,10
"37179000018",7,2,1,13,1
"37011000002",1,1,10,10,10
"37011000001",1,10,10,10,10
"37179000016",7,2,1,13,1
"371870000LM",4,6,6,8,8
"370890000PV",1,10,10,10,10
"37179000015",7,2,1,13,1
"37179000014",7,2,1,13,1
"37179000013",11,2,1,3,11
"37179000012",11,2,1,13,1
"370890000PR",1,10,10,10,10
"37179000011",11,2,1,13,1
"37143PARKVI",4,6,6,8,8
"37011000009",1,10,10,10,10
"37011000008",1,1,10,10,10
"37011000007",1,10,10,10,10
"37011000006",1,1,13,9,2
"37011000005",1,10,10,10,10
"37123000BIS",11,2,9,7,4
"37011000004",13,1,10,10,10
"37179000019",7,2,1,13,1
"37011000003",1,1,13,9,2
"37169001618",12,13,2,2,9
"37179000043",7,2,1,13,1
"37179000042",7,2,1,13,1
"37179000041",7,2,1,13,1
"37179000040",7,2,1,13,1
"370210023.3",1,10,10,10,10
"370210023.2",1,10,10,10,10
"37009000020",13,1,13,9,2
"370210014.3",1,10,10,10,10
"370210014.2",1,10,10,10,10
"3712700P22A",5,6,6,8,8
"3706100HALL",3,3,5,5,5
"37179000032",7,2,1,13,1
"37179000031",7,2,1,13,1
"37179000030",7,2,1,13,1
"37179000039",7,2,1,13,1
