"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000"
"371510000BC",13,2,2,14,4,9,7,5,6,4,10,14,12,12,4,6,10,1,12,14,4,13,3,5,13,9,4,7,4,14,2,13,14,9,3,8,13,13,14,9,9,1,1,12,9,8,14,8,12,7,14,1,1,1,9,13,12,12,3,3,10,6,3,3,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"37065000701",9,4,4,6,3,1,1,4,5,5,2,3,5,5,7,3,3,11,4,5,1,1,12,12,1,1,6,6,6,6,10,6,1,1,5,6,6,1,6,6,6,5,5,4,4,4,1,4,4,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37161000019",1,5,13,13,13,13,13,12,8,11,8,11,11,11,13,11,12,8,9,13,14,8,13,3,3,3,13,9,12,12,3,3,3,11,9,14,12,12,9,8,3,9,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,7,7,7,7,13,5,5,1,1,1,8,8,8,8,13,3,3,3,3,8,8
"3700100012S",11,14,14,4,7,3,9,14,14,4,7,7,4,1,1,7,1,3,6,4,4,11,5,13,12,4,2,10,2,8,8,5,5,6,1,1,8,4,13,13,7,2,10,1,2,6,4,6,6,3,3,3,14,14,13,9,9,9,9,6,9,4,11,11,11,14,11,11,9,12,2,2,2,2,10,10,10,10,11,11,11
"37161000018",1,5,13,8,2,13,13,13,12,11,8,12,13,13,13,11,8,8,9,13,8,14,14,14,8,8,8,9,12,12,3,3,3,11,9,14,9,12,9,8,3,9,3,3,3,3,3,13,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"3716300WBRK",9,11,3,9,8,4,4,1,5,5,1,6,7,7,12,4,6,5,1,7,9,12,7,10,11,7,12,2,8,5,7,7,7,10,10,3,7,5,5,4,5,6,6,6,10,10,10,10,14,11,6,8,8,2,2,2,8,8,8,8,8,8,10,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1
"370130BELHV",4,4,9,3,3,7,3,7,7,7,2,3,7,5,7,3,3,5,4,5,1,1,12,12,1,1,6,6,6,5,10,6,10,1,5,3,3,1,4,5,4,4,5,4,11,11,11,11,11,6,2,2,2,8,8,8,2,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"3718100KITT",9,9,4,6,11,10,10,10,1,6,1,2,3,1,3,1,7,10,4,6,11,1,12,12,1,1,6,6,6,1,10,6,1,1,6,5,5,1,6,6,6,5,11,2,1,2,4,4,4,2,11,3,4,14,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"371390NORTH",9,4,9,3,3,7,3,7,7,7,2,3,5,5,7,3,3,5,4,5,1,1,12,12,1,1,6,6,6,6,10,6,1,1,5,6,6,6,6,6,6,4,5,4,4,4,11,11,11,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"3719911-PRI",1,5,13,8,2,2,13,12,12,11,8,12,13,13,14,8,8,8,9,13,8,14,14,14,8,8,8,9,14,4,3,3,3,11,9,13,9,9,12,8,12,12,3,3,3,3,3,13,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,8,8,8,8,13,13,13
"37067000043",14,7,5,2,10,5,5,11,14,1,5,14,2,14,2,9,11,1,14,8,5,7,3,8,5,9,14,8,4,14,2,9,14,2,14,9,10,8,8,14,10,1,12,13,13,13,13,3,3,7,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"371510000AE",13,2,2,14,4,9,7,5,6,4,10,14,12,12,4,6,10,1,12,14,4,13,3,5,13,9,4,7,4,14,14,13,14,9,3,8,13,13,14,9,9,1,1,12,12,12,14,8,12,7,14,1,3,3,14,14,10,10,3,3,10,6,3,3,12,12,14,14,12,9,9,9,1,14,14,14,14,14,14,14,14
"3712700P19A",9,4,4,6,3,1,1,4,5,5,1,3,5,5,7,3,3,11,4,5,1,1,12,12,1,1,6,6,6,6,10,6,1,1,5,6,6,1,6,6,6,5,5,4,4,4,1,4,4,2,11,11,11,11,4,4,4,4,4,11,11,11,4,4,9,9,4,4,4,4,4,11,11,4,4,4,4,4,4,4,4
"37129000W03",3,11,3,7,9,8,4,3,3,3,3,10,10,10,10,10,5,4,11,1,10,9,4,11,11,7,12,2,8,7,7,7,7,10,10,7,7,5,5,4,5,6,6,6,10,10,10,10,14,11,6,8,8,2,2,2,8,8,8,8,8,8,10,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1
"37067000042",14,7,5,2,10,5,5,5,13,9,12,13,2,14,2,9,11,1,14,8,5,7,3,7,5,9,14,8,4,14,9,13,14,2,14,9,10,8,8,14,14,1,12,5,9,8,12,7,3,8,10,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,13,8,3,3
"37001000129",11,14,14,4,7,3,9,14,14,4,7,7,4,1,1,7,1,3,6,4,4,11,5,13,12,4,2,10,3,8,8,5,5,6,1,8,8,4,13,13,7,2,10,1,2,6,4,6,6,3,3,3,14,14,13,9,9,9,9,6,9,4,11,11,11,14,11,11,9,12,2,2,2,2,10,10,10,10,11,11,11
"3716300GARL",3,11,3,7,8,4,4,3,2,5,1,6,7,7,12,4,5,9,1,1,10,12,4,11,11,7,12,2,8,5,7,7,7,10,10,7,7,5,5,4,5,6,6,6,10,10,10,10,14,11,6,8,8,2,2,2,8,8,8,8,8,8,10,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1
